报道时间,省份,城市,新增确诊,新增出院,新增死亡,消息来源,来源链接1,来源链接2,来源链接3,备注
2月12日,甘肃,甘南州,1,0,0,央视,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtikrTBjep32puN5ajwcAs3200212&fromapp=cctvnews&version=803&allow_comment=1,,,
2月12日,重庆,万州区,1,0,0,央视,http://m.news.cctv.com/2020/02/12/ARTIwoOkpaZCp9iv8tniqofY200212.shtml,,,
2月12日,重庆,沙坪坝区,6,0,0,央视,http://m.news.cctv.com/2020/02/12/ARTIwoOkpaZCp9iv8tniqofY200212.shtml,,,
2月12日,重庆,合川区,2,0,0,央视,http://m.news.cctv.com/2020/02/12/ARTIwoOkpaZCp9iv8tniqofY200212.shtml,,,
2月12日,重庆,綦江区,1,0,0,央视,http://m.news.cctv.com/2020/02/12/ARTIwoOkpaZCp9iv8tniqofY200212.shtml,,,
2月12日,重庆,潼南区,1,0,0,央视,http://m.news.cctv.com/2020/02/12/ARTIwoOkpaZCp9iv8tniqofY200212.shtml,,,
2月12日,重庆,开州区,2,0,1,央视,http://m.news.cctv.com/2020/02/12/ARTIwoOkpaZCp9iv8tniqofY200212.shtml,,,
2月12日,重庆,奉节县,2,0,0,央视,http://m.news.cctv.com/2020/02/12/ARTIwoOkpaZCp9iv8tniqofY200212.shtml,,,
2月12日,重庆,巫溪县,1,0,0,央视,http://m.news.cctv.com/2020/02/12/ARTIwoOkpaZCp9iv8tniqofY200212.shtml,,,
2月12日,重庆,江北区,0,1,0,央视,http://m.news.cctv.com/2020/02/12/ARTIwoOkpaZCp9iv8tniqofY200212.shtml,,,
2月12日,重庆,两江新区,0,1,0,央视,http://m.news.cctv.com/2020/02/12/ARTIwoOkpaZCp9iv8tniqofY200212.shtml,,,
2月12日,天津,南开区,1,0,0,央视,http://m.news.cctv.com/2020/02/12/ARTIi6Km9bZYVhWfkaY6Rxvy200212.shtml,,,
2月12日,山西,长治市,1,0,0,央视,http://m.news.cctv.com/2020/02/12/ARTI8KF4veZbNhcAzShT1Fn8200212.shtml,,,
2月12日,山西,晋中市,1,0,0,央视,http://m.news.cctv.com/2020/02/12/ARTI8KF4veZbNhcAzShT1Fn8200212.shtml,,,
2月12日,山西,运城市,0,2,0,央视,http://m.news.cctv.com/2020/02/12/ARTI8KF4veZbNhcAzShT1Fn8200212.shtml,,,
2月12日,山西,吕梁市,0,2,0,央视,http://m.news.cctv.com/2020/02/12/ARTI8KF4veZbNhcAzShT1Fn8200212.shtml,,,
2月12日,上海,外地来沪,1,0,0,上海发布,https://mp.weixin.qq.com/s/2gy0kbbTusynHcdWDCkufA,,,
2月12日,上海,黄浦区,1,0,0,上海发布,https://mp.weixin.qq.com/s/2gy0kbbTusynHcdWDCkufA,,,
2月12日,上海,长宁区,1,0,0,上海发布,https://mp.weixin.qq.com/s/2gy0kbbTusynHcdWDCkufA,,,
2月12日,上海,松江区,0,1,0,上海发布,https://mp.weixin.qq.com/s/2gy0kbbTusynHcdWDCkufA,,,
2月12日,湖北,武汉市,1104,171,72,央视,http://m.news.cctv.com/2020/02/12/ARTIdDcpNUVXkRQPTwwA7bcS200212.shtml,,,
2月12日,湖北,孝感市,109,40,4,央视,http://m.news.cctv.com/2020/02/12/ARTIdDcpNUVXkRQPTwwA7bcS200212.shtml,,,
2月12日,湖北,鄂州市,71,11,2,央视,http://m.news.cctv.com/2020/02/12/ARTIdDcpNUVXkRQPTwwA7bcS200212.shtml,,,
2月12日,湖北,黄冈市,66,59,2,央视,http://m.news.cctv.com/2020/02/12/ARTIdDcpNUVXkRQPTwwA7bcS200212.shtml,,,
